City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
161,Katsuura,JP,2020-06-17 03:44:35,35.13,140.3,82.99,61,40,4.7
162,Boa Vista,BR,2020-06-17 03:41:49,2.82,-60.67,78.8,88,75,3.36
163,Bull Savanna,JM,2020-06-17 03:44:35,17.89,-77.59,76.19,88,90,9.89
164,Antalaha,MG,2020-06-17 03:44:36,-14.9,50.28,69.85,79,28,12.01
165,Mgachi,RU,2020-06-17 03:44:36,51.05,142.27,62.11,59,95,5.5
166,Lata,PT,2020-06-17 03:34:45,40.16,-8.33,60.01,88,83,2.82
167,Betioky,MG,2020-06-17 03:44:36,-23.72,44.38,60.96,82,0,9.82
168,Alugan,PH,2020-06-17 03:44:36,12.22,125.48,86.05,67,100,7.02
169,Castro,BR,2020-06-17 03:44:35,-24.79,-50.01,57.92,94,54,8.99
170,Manono,CD,2020-06-17 03:34:57,-7.3,27.42,63.95,55,0,5.95
171,Kloulklubed,PW,2020-06-17 03:44:37,7.04,134.26,87.8,66,75,6.93
172,Salinopolis,BR,2020-06-17 03:44:37,-0.61,-47.36,78.62,84,12,10.56
173,Novocheboksarsk,RU,2020-06-17 03:44:37,56.11,47.48,66.2,77,19,6.71
174,Kroonstad,ZA,2020-06-17 03:44:37,-27.65,27.23,42.01,91,100,7.0
175,Kushmurun,KZ,2020-06-17 03:44:37,52.45,64.63,71.22,48,65,8.37
176,Arraial Do Cabo,BR,2020-06-17 03:44:32,-22.97,-42.03,70.5,72,38,15.95
177,Rio Gallegos,AR,2020-06-17 03:44:38,-51.62,-69.22,28.4,92,2,11.41
178,Port Keats,AU,2020-06-17 03:40:10,-14.25,129.55,87.08,31,0,11.5
179,Norman Wells,CA,2020-06-17 03:44:38,65.28,-126.83,71.6,49,20,23.04
180,Hofn,IS,2020-06-17 03:44:39,64.25,-15.21,48.42,75,0,9.53
181,Zharkent,KZ,2020-06-17 03:44:39,44.16,80.0,79.27,35,100,11.52
182,Princeton,US,2020-06-17 03:44:39,25.54,-80.41,80.6,69,20,6.93
183,Pingliang,CN,2020-06-17 03:44:39,35.54,106.69,67.62,60,99,13.09
184,Campbell River,CA,2020-06-17 03:44:39,50.02,-125.24,66.2,52,20,5.82
185,Luanda,AO,2020-06-17 03:44:40,-8.84,13.23,73.4,83,75,1.12
186,General Roca,AR,2020-06-17 03:44:40,-39.03,-67.58,39.2,86,40,1.59
187,Half Moon Bay,US,2020-06-17 03:44:40,37.46,-122.43,63.0,76,1,14.99
188,Fomboni,KM,2020-06-17 03:44:40,-12.28,43.74,79.36,72,99,20.8
189,Nedjo,ET,2020-06-17 03:44:40,9.5,35.5,57.36,96,21,1.68
190,Svetlogorsk,BY,2020-06-17 03:44:41,52.63,29.73,65.53,90,4,8.48
191,Hamilton,US,2020-06-17 03:42:50,39.18,-84.53,70.0,77,1,3.94
192,Hobyo,SO,2020-06-17 03:44:41,5.35,48.53,80.58,68,100,23.87
193,San Policarpo,PH,2020-06-17 03:44:41,12.18,125.51,85.69,68,100,7.05
194,Cidreira,BR,2020-06-17 03:44:41,-30.18,-50.21,63.75,94,39,15.37
195,Ishigaki,JP,2020-06-17 03:44:42,24.34,124.16,89.6,75,75,19.46
196,Boguchany,RU,2020-06-17 03:44:42,58.38,97.45,65.64,37,29,3.22
197,Santa Isabel Do Rio Negro,BR,2020-06-17 03:44:42,-0.41,-65.02,72.46,96,49,1.21
198,Yellowknife,CA,2020-06-17 03:40:48,62.46,-114.35,60.8,38,20,14.99
199,Palana,RU,2020-06-17 03:44:42,59.12,159.97,51.58,62,84,10.65
200,Grand Gaube,MU,2020-06-17 03:44:43,-20.01,57.66,68.0,83,16,5.99
201,Hasaki,JP,2020-06-17 03:44:43,35.73,140.83,82.99,57,75,11.41
202,Araouane,ML,2020-06-17 03:34:49,18.9,-3.53,92.7,11,2,14.34
203,Ewa Beach,US,2020-06-17 03:43:57,21.32,-158.01,89.6,65,90,11.41
