City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
195,Marsabit,KE,2.33,37.99,72.5,53,87,16.4,overcast clouds,0.0,0
196,Sorong,ID,-0.88,131.25,78.19,85,93,10.38,overcast clouds,0.0,0
197,Vorokhta,UA,48.29,24.57,56.21,92,100,1.83,light rain,8.95,0
198,Nanortalik,GL,60.14,-45.24,45.1,70,100,11.99,overcast clouds,0.0,0
199,Karasjok,NO,69.47,25.51,55.4,47,0,10.29,clear sky,0.0,0
200,Vestmannaeyjar,IS,63.44,-20.27,51.28,85,100,24.79,overcast clouds,0.0,0
201,Vestmanna,FO,62.16,-7.17,51.8,100,100,12.75,overcast clouds,0.0,0
202,Kashan,IR,33.98,51.44,82.6,15,0,6.76,clear sky,0.0,0
203,Westminster,US,39.84,-105.04,82.99,23,75,3.36,broken clouds,0.0,0
204,Nikolskoye,RU,59.7,30.79,60.8,55,0,6.71,clear sky,0.0,0
205,Padang,ID,-0.95,100.35,77.31,82,98,5.19,light rain,7.35,0
206,Kampil,IN,27.62,79.28,87.58,49,0,3.56,clear sky,0.0,0
207,Saint-Michel-Des-Saints,CA,46.68,-73.92,87.01,4,1,1.01,light rain,8.74,0
208,Mahebourg,MU,-20.41,57.7,69.8,77,75,11.41,shower rain,4.48,0
209,Siemiatycze,PL,52.43,22.86,66.99,81,100,1.01,overcast clouds,0.0,0
210,Kahului,US,20.89,-156.47,87.8,48,40,18.34,scattered clouds,0.0,0
211,Saint-Pierre,RE,-21.34,55.48,66.2,82,20,4.7,few clouds,0.0,0
212,Qiqihar,CN,47.34,123.97,58.46,90,94,10.54,overcast clouds,0.0,0
213,Awbari,LY,26.59,12.78,85.6,16,0,11.41,clear sky,0.0,0
214,Esperance,AU,-33.87,121.9,41.0,86,0,12.75,clear sky,0.0,0
215,Tekeli,KZ,44.83,78.82,54.52,32,0,8.95,clear sky,0.0,0
216,Trairi,BR,-3.28,-39.27,79.36,72,5,9.69,clear sky,0.0,0
217,Lavrentiya,RU,65.58,-171.0,56.17,44,9,5.79,clear sky,0.0,0
218,Hithadhoo,MV,-0.6,73.08,83.52,68,13,4.41,few clouds,0.0,0
219,Dunedin,NZ,-45.87,170.5,35.01,93,3,7.0,clear sky,0.0,0
220,Jos,NG,9.92,8.9,68.47,84,66,3.71,light rain,8.02,0
221,Stromness,GB,58.97,-3.3,55.4,93,71,3.36,broken clouds,0.0,0
222,Clyde River,CA,70.47,-68.59,44.6,81,1,5.82,clear sky,0.0,0
223,Chincha Alta,PE,-13.41,-76.13,64.99,77,90,5.82,overcast clouds,0.0,0
224,Mizdah,LY,31.45,12.98,70.79,37,0,2.64,clear sky,0.0,0
225,Kavaratti,IN,10.57,72.64,83.57,77,100,14.52,moderate rain,8.57,0
226,Salinopolis,BR,-0.61,-47.36,79.48,86,94,13.15,light rain,0.93,0
227,Eufaula,US,31.89,-85.15,93.0,50,94,4.0,overcast clouds,0.0,0
228,Deputatskiy,RU,69.3,139.9,78.84,25,0,1.52,clear sky,0.0,0
229,Ayorou,NE,14.73,0.92,101.48,16,73,8.25,broken clouds,0.0,0
230,Dutlwe,BW,-23.98,23.9,49.68,47,0,6.17,clear sky,0.0,0
231,Grindavik,IS,63.84,-22.43,59.0,62,99,25.28,overcast clouds,0.0,0
232,Imbituba,BR,-28.24,-48.67,80.6,44,0,3.36,clear sky,0.0,0
233,Provideniya,RU,64.38,-173.3,57.2,58,0,8.95,clear sky,0.0,0
234,Tura,IN,25.52,90.22,74.26,96,26,5.82,scattered clouds,0.0,0
235,Kropotkin,RU,45.44,40.58,65.41,88,89,2.71,overcast clouds,0.0,0
236,Nenjiang,CN,49.18,125.22,52.5,91,3,6.35,clear sky,0.0,0
237,Beian,NO,63.66,9.57,70.0,64,19,1.12,few clouds,0.0,0
238,Hobyo,SO,5.35,48.53,79.81,72,61,27.74,broken clouds,0.0,0
239,Kununurra,AU,-15.77,128.73,71.6,39,0,9.17,clear sky,0.0,0
240,Hvide Sande,DK,56.0,8.13,64.4,77,100,1.12,light rain,10.67,0
241,Namtsy,RU,62.72,129.67,60.8,55,25,4.47,scattered clouds,0.0,0
242,Murray Bridge,AU,-35.12,139.27,51.01,92,28,8.01,light rain,1.05,0
243,Te Anau,NZ,-45.42,167.72,36.64,82,19,1.25,few clouds,0.0,0
244,Quatre Cocos,MU,-20.21,57.76,72.0,78,40,14.99,scattered clouds,0.0,0
245,Coracora,PE,-15.03,-73.78,62.29,28,34,10.38,scattered clouds,0.0,0
246,Florence,IT,43.77,11.25,73.4,60,4,5.82,clear sky,0.0,0
247,Ostrovnoy,RU,68.05,39.51,58.37,56,100,16.49,overcast clouds,0.0,0
248,Alofi,NU,-19.06,-169.92,77.65,82,60,22.88,broken clouds,0.0,0
249,Serebryansk,KZ,49.69,83.29,39.2,93,1,4.47,clear sky,0.0,0
250,Kutum,SD,14.2,24.67,76.98,17,0,7.45,clear sky,0.0,0
251,Severo-Kurilsk,RU,50.68,156.12,46.45,83,83,6.44,broken clouds,0.0,0
252,Yarmouth,US,41.71,-70.23,80.6,65,1,8.05,clear sky,0.0,0
253,Goderich,CA,43.75,-81.72,87.01,60,81,5.19,broken clouds,0.0,0
254,Bara,NG,10.37,10.73,80.78,71,48,10.13,scattered clouds,0.0,0
255,Carutapera,BR,-1.2,-46.02,77.36,91,96,6.24,light rain,8.97,0
